weather_id_x,weather_main,weather_description
803,Clouds,broken clouds
800,Clear,sky is clear
802,Clouds,scattered clouds
804,Clouds,overcast clouds
801,Clouds,few clouds
500,Rain,light rain
501,Rain,moderate rain
721,Haze,haze
701,Mist,mist
502,Rain,heavy intensity rain
211,Thunderstorm,thunderstorm
711,Smoke,smoke
520,Rain,light intensity shower rain
200,Thunderstorm,thunderstorm with light rain
201,Thunderstorm,thunderstorm with rain
741,Fog,fog
300,Drizzle,light intensity drizzle
202,Thunderstorm,thunderstorm with heavy rain
503,Rain,very heavy rain
521,Rain,shower rain
601,Snow,snow
600,Snow,light snow
615,Snow,light rain and snow
511,Rain,freezing rain
620,Snow,light shower snow
621,Snow,shower snow
602,Snow,heavy snow
